Dest Lat,Dest Long,Source Lat,Source Lon
-34.8222,-58.5358,-33.393,-70.7858
-34.5592,-58.4156,-33.393,-70.7858
-33.9461,151.177,-33.393,-70.7858
-32.8317,-68.7929,-33.393,-70.7858
-31.3236,-64.208,-33.393,-70.7858
-29.9162,-71.1995,-33.393,-70.7858
-27.2969,-70.4131,-33.393,-70.7858
-27.1648,-109.422,-33.393,-70.7858
-25.24,-57.52,-33.393,-70.7858
-23.4445,-70.4451,-33.393,-70.7858
-23.43556,-46.47306,-33.393,-70.7858
-22.81,-43.25056,-33.393,-70.7858
-22.4982,-68.9036,-33.393,-70.7858
-20.5352,-70.1813,-33.393,-70.7858
-18.3485,-70.3387,-33.393,-70.7858
-12.90861,-38.3225,-33.393,-70.7858
-12.0219,-77.11431,-33.393,-70.7858
-2.15742,-79.8836,-33.393,-70.7858
-0.12917,-78.3575,-33.393,-70.7858
4.70159,-74.1469,-33.393,-70.7858
9.07136,-79.3835,-33.393,-70.7858
10.60119,-66.99122,-33.393,-70.7858
18.5674,-68.3634,-33.393,-70.7858
19.4363,-99.0721,-33.393,-70.7858
21.0365,-86.8771,-33.393,-70.7858
25.7932,-80.2906,-33.393,-70.7858
32.8968,-97.038,-33.393,-70.7858
33.6367,-84.4281,-33.393,-70.7858
40.47193,-3.56264,-33.393,-70.7858
40.6398,-73.7789,-33.393,-70.7858
43.6772,-79.6306,-33.393,-70.7858
49.0128,2.55,-33.393,-70.7858
-33.9461,151.177,-33.3817,149.133
-34.5592,-58.4156,-33.2732,-66.3564
-33.9461,151.177,-33.1314,148.239
-33.4094,149.65199,-33.1314,148.239
-34.945,138.53101,-33.0589,137.51401
-33.9849,25.6173,-33.0356,27.8259
-33.9648,18.6017,-33.0356,27.8259
-29.61444,31.11972,-33.0356,27.8259
-26.1392,28.246,-33.0356,27.8259
-34.8551,-55.0943,-32.9036,-60.785
-34.8222,-58.5358,-32.9036,-60.785
-34.5592,-58.4156,-32.9036,-60.785
-31.3236,-64.208,-32.9036,-60.785
-23.43556,-46.47306,-32.9036,-60.785
-41.1512,-71.1575,-32.8317,-68.7929
-38.949,-68.1557,-32.8317,-68.7929
-34.8222,-58.5358,-32.8317,-68.7929
-34.5592,-58.4156,-32.8317,-68.7929
-33.393,-70.7858,-32.8317,-68.7929
-31.3236,-64.208,-32.8317,-68.7929
-24.856,-65.4862,-32.8317,-68.7929
-37.6733,144.843,-32.795,151.834
-33.9461,151.177,-32.795,151.834
-28.8339,153.562,-32.795,151.834
-28.1644,153.505,-32.795,151.834
-27.3842,153.117,-32.795,151.834
-34.945,138.53101,-32.5069,137.717
-33.9461,151.177,-32.2167,148.575
-32.0014,141.472,-32.2167,148.575
-34.945,138.53101,-32.1306,133.71001
-34.945,138.53101,-32.0014,141.472
-34.2292,142.086,-32.0014,141.472
-33.9461,151.177,-32.0014,141.472
-32.2167,148.575,-32.0014,141.472
